"","X","Y"
"C10_P1",40,400
"C12_P1",100,360
"C15_P1",280,360
"C16_P1",280,280
"C18_P1",160,280
"C2_P1",100,460
"C20_P1",40,280
"C22_P1",100,220
"C25_P1",280,220
"C3_P1",160,460
"C30_P1",40,160
"C32_P1",100,100
"C34_P1",220,100
"C35_P1",280,100
"C36_P1",280,40
"C37_P1",220,40
"C39_P1",100,40
"C40_P1",40,40
"C5_P1",280,460
"C6_P1",280,400
"C7_P1",220,400
"C1_P2",40,460
"C11_P2",40,360
"C13_P2",160,360
"C14_P2",220,360
"C17_P2",220,280
"C19_P2",100,280
"C21_P2",40,220
"C23_P2",160,220
"C26_P2",280,160
"C27_P2",220,160
"C28_P2",160,160
"C29_P2",100,160
"C31_P2",40,100
"C33_P2",160,100
"C38_P2",160,40
"C4_P2",220,460
"C8_P2",160,400
"C9_P2",100,400
